time(s) displacement(cm)
0.0 0.0
0.8333333333333334 3472.2222222222226
1.6666666666666667 13888.88888888889
2.5 31250.0
3.3333333333333335 55555.55555555556
4.166666666666667 86805.55555555558
5.0 125000.0
5.833333333333334 170138.88888888893
6.666666666666667 222222.22222222225
7.5 281250.0
8.333333333333334 347222.2222222223
9.166666666666668 420138.888888889
10.0 500000.0
10.833333333333334 586805.5555555556
11.666666666666668 680555.5555555557
12.5 781250.0
13.333333333333334 888888.888888889
14.166666666666668 1003472.2222222225
15.0 1125000.0
15.833333333333334 1253472.2222222222
16.666666666666668 1388888.8888888892
17.5 1531250.0
18.333333333333336 1680555.555555556
19.166666666666668 1836805.5555555557
20.0 2000000.0
20.833333333333336 2170138.8888888895
21.666666666666668 2347222.2222222225
22.5 2531250.0
23.333333333333336 2722222.222222223
24.166666666666668 2920138.888888889
25.0 3125000.0
25.833333333333336 3336805.555555556
26.666666666666668 3555555.555555556
27.5 3781250.0
28.333333333333336 4013888.88888889
29.166666666666668 4253472.222222222
30.0 4500000.0
30.833333333333336 4753472.222222223
31.666666666666668 5013888.888888889
32.5 5281250.0
33.333333333333336 5555555.555555557
34.16666666666667 5836805.555555558
35.0 6125000.0
35.833333333333336 6420138.88888889
36.66666666666667 6722222.222222224
37.5 7031250.0
38.333333333333336 7347222.222222223
39.16666666666667 7670138.88888889
40.0 8000000.0
40.833333333333336 8336805.555555557
41.66666666666667 8680555.555555558
42.5 9031250.0
43.333333333333336 9388888.88888889
44.16666666666667 9753472.222222224
45.0 10125000.0
45.833333333333336 10503472.222222224
46.66666666666667 10888888.888888892
47.5 11281250.0
48.333333333333336 11680555.555555556
49.16666666666667 12086805.55555556
50.0 12500000.0
50.833333333333336 12920138.88888889
51.66666666666667 13347222.222222224
52.5 13781250.0
53.333333333333336 14222222.222222224
54.16666666666667 14670138.888888892
55.0 15125000.0
55.833333333333336 15586805.555555556
56.66666666666667 16055555.55555556
57.5 16531250.0
58.333333333333336 17013888.888888888
59.16666666666667 17503472.222222224
60.0 18000000.0
60.833333333333336 18503472.222222224
61.66666666666667 19013888.88888889
62.5 19531250.0
63.333333333333336 20055555.555555556
64.16666666666667 20586805.555555556
65.0 21125000.0
65.83333333333334 21670138.888888896
66.66666666666667 22222222.222222228
67.5 22781250.0
68.33333333333334 23347222.22222223
69.16666666666667 23920138.88888889
70.0 24500000.0
70.83333333333334 25086805.55555556
71.66666666666667 25680555.55555556
72.5 26281250.0
73.33333333333334 26888888.888888896
74.16666666666667 27503472.222222228
75.0 28125000.0
75.83333333333334 28753472.22222223
76.66666666666667 29388888.88888889
77.5 30031250.0
78.33333333333334 30680555.55555556
79.16666666666667 31336805.55555556
80.0 32000000.0
80.83333333333334 32670138.888888896
81.66666666666667 33347222.222222228
82.5 34031250.0
83.33333333333334 34722222.22222223
84.16666666666667 35420138.88888889
85.0 36125000.0
85.83333333333334 36836805.55555557
86.66666666666667 37555555.55555556
87.5 38281250.0
88.33333333333334 39013888.888888896
89.16666666666667 39753472.222222224
90.0 40500000.0
90.83333333333334 41253472.22222224
91.66666666666667 42013888.888888896
92.5 42781250.0
93.33333333333334 43555555.55555557
94.16666666666667 44336805.55555556
95.0 45125000.0
95.83333333333334 45920138.888888896
96.66666666666667 46722222.222222224
97.5 47531250.0
98.33333333333334 48347222.22222224
99.16666666666667 49170138.888888896
100.0 50000000.0
