lamb flux
3825.60400390625 27.319374084472656
3826.484130859375 28.24883270263672
3827.366455078125 33.171104431152344
3828.246826171875 33.18122100830078
3829.129638671875 30.523595809936523
3830.010498046875 24.755563735961914
3830.893798828125 37.65159606933594
3831.775146484375 33.880455017089844
3832.656494140625 28.302745819091797
3833.540283203125 25.333572387695312
3834.42236328125 27.210636138916016
3835.306396484375 35.58852005004883
3836.188720703125 33.54884338378906
3837.073486328125 34.9791145324707
3837.9560546875 23.83111000061035
3838.839111328125 22.229267120361328
3839.724365234375 26.997772216796875
3840.607666015625 21.921327590942383
3841.4931640625 21.012723922729492
3842.376953125 23.559803009033203
3843.262939453125 20.43868637084961
3844.147216796875 15.251839637756348
3845.031494140625 16.70501136779785
3845.918212890625 20.137800216674805
3846.802978515625 15.55543041229248
3847.68994140625 23.401090621948242
3848.5751953125 23.13729476928711
3849.462646484375 21.269041061401367
3850.34814453125 18.080129623413086
3851.23388671875 14.018617630004883
3852.1220703125 15.162383079528809
3853.00830078125 19.454538345336914
3853.896728515625 20.790842056274414
3854.783203125 28.356285095214844
3855.672119140625 26.4473876953125
3856.55908203125 26.379417419433594
3857.4462890625 26.12372398376465
3858.3359375 27.101720809936523
3859.223388671875 37.50099182128906
3860.113525390625 37.48897171020508
3861.00146484375 30.158504486083984
3861.891845703125 29.388912200927734
3862.7802734375 24.75832176208496
3863.668701171875 25.779306411743164
3864.559814453125 26.60076332092285
3865.44873046875 32.5197868347168
3866.340087890625 35.97669982910156
3867.229736328125 32.30327224731445
3868.121337890625 29.032716751098633
3869.01123046875 28.11498260498047
3869.9013671875 27.94359588623047
3870.793701171875 29.04767608642578
3871.68408203125 27.6953125
3872.576904296875 19.715869903564453
3873.4677734375 27.033370971679688
3874.361083984375 26.574241638183594
3875.25244140625 25.535308837890625
3876.143798828125 32.93199920654297
3877.03759765625 34.07467269897461
3877.9296875 35.88874053955078
3878.82373046875 35.5028190612793
3879.716064453125 29.90479278564453
3880.61083984375 32.85740280151367
3881.503662109375 38.97311019897461
3882.396484375 32.90736389160156
3883.291748046875 36.160057067871094
3884.18505859375 34.80670166015625
3885.080810546875 31.968244552612305
3885.974609375 26.487436294555664
3886.87060546875 23.64305877685547
3887.764892578125 28.369985580444336
3888.6591796875 33.82518005371094
3889.555908203125 34.71356964111328
3890.45068359375 38.06269073486328
3891.347900390625 27.873571395874023
3892.242919921875 26.62468719482422
3893.140625 26.343637466430664
3894.0361328125 32.400753021240234
3894.93408203125 32.46274185180664
3895.830078125 30.012619018554688
3896.726318359375 30.06987953186035
3897.625 31.11672019958496
3898.521484375 28.153226852416992
3899.420654296875 21.98794174194336
3900.317626953125 25.552431106567383
3901.217041015625 23.455398559570312
3902.114501953125 25.716127395629883
3903.01220703125 22.175830841064453
3903.912109375 27.01024055480957
3904.810302734375 28.181659698486328
3905.710693359375 26.933786392211914
3906.609375 26.9798641204834
3907.510009765625 26.33355712890625
3908.408935546875 29.809389114379883
3909.30810546875 34.83696746826172
